,country,year,value,region,democraticStatus,freedomStatus,populaiton,overview,freedomRating,cL,pL,url
Democracy Index,Angola,2014,3.35,Central,No,Not Free,25021974,"President Jos� Eduardo dos Santos and his party, the Popular Movement for the Liberation of Angola (MPLA), continue to exercise tight control over Angola�s political system. The president unilaterally decided to postpone municipal elections that had been expected in 2014 until after the 2017 general elections.

Corruption is pervasive and the independent media are still subject to legal and physical harassment. Mostly urban-based anticorruption and antigovernment protests that had begun in 2011 expanded in 2013 and continued in 2014. Demonstrators faced violent dispersal and intimidation; several were arrested and beaten, and some were killed.

After a moderate slowing of Angola�s gross domestic product (GDP) growth in 2013, Angola�s economy sped up again in 2014. A July report from the World Bank warned of possible long-term ill effects of a narrowing current-account surplus as the country�s oil-export earnings decline amid a global price decrease and as imports increase.",5.5,5,6,https://freedomhouse.org/report/freedom-world/2015/angola
Democracy Index,Benin,2014,5.65,Western,Yes,Free,10879829,"Although Benin remains among the most stable democracies in West Africa, its political sphere in 2014 was characterized by tensions surrounding public discontent with President Thomas Boni Yayi, the consequences of alleged coup attempts in 2012 and 2013, proposed constitutional reforms, and delayed local elections. Opposition discontent with the continued delay of local elections�originally scheduled for April 2013 but postponed following problems with the electronic voter roll system�led to protests in 2014, including a mass demonstration held in October in the economic capital, Cotonou. Opposition members also expressed discontent at continued attempts by Yayi�s coalition to pass controversial constitutional reforms through the National Assembly, with critics worried that the changes would allow Yayi to run for a third presidential term. After the proposals were repeatedly rejected, Yayi publicly declared an end to the particular reform initiative, though the issue was widely discussed throughout the year. In May, the president extended a pardon to the alleged participants of a 2012 coup attempt, most of whom had been imprisoned.",2,2,2,https://freedomhouse.org/report/freedom-world/2015/benin
Democracy Index,Botswana,2014,7.87,Southern,Yes,Free,2262485,"In October 2014, Botswana�the world�s largest diamond producing country and the only one to have successive democratic elections since independence�held its 11th general election. The ruling Botswana Democratic Party (BDP) won the most seats in the tightest race in the country�s history. President Seretse Khama Ian Khama was reelected for a second term. Despite allegations of intimidation and violence against opposition party members and journalists in the run-up to the elections, the environment was largely peaceful.

The BDP faces increasing opposition, and critics accuse Khama of creeping authoritarianism. Shortly after being sworn in, the retired army general insisted that new members of parliament vote for a vice president by show of hands rather than secret ballot. This attempt to position his brother to fill the role was thwarted by a court ruling in November. Political tensions increased further in July, following the death of leading opposition party leader Gomolemo Motswaledi in a traffic accident that some believed to be a possible assassination.

In September, police officers arrested two journalists and raided the offices of the Sunday Standard under the auspices of a colonial-era sedition law.",2.5,2,3,https://freedomhouse.org/report/freedom-world/2015/botswana
Democracy Index,Burkina Faso,2014,4.09,Western,No,Partly Free,18105570,"After a series of protests over the past four years, including mass demonstrations in 2013 against alterations to the constitution and attempts to create a second legislative chamber, the situation in Burkina Faso became more volatile in 2014. A proposed change to the constitution to allow President Blaise Compaor� to suspend term limits and run in the 2015 presidential election caused disagreement within and between the country�s political parties. The government and opposition clashed throughout the year over the issue, and mass opposition protests led to confrontations with security forces in late October. Following a declaration of a state of emergency on October 30, Compaor� stepped down from office, and the country came under military rule. A transitional government took power in mid-November.",4.5,3,6,https://freedomhouse.org/report/freedom-world/2015/burkina-faso
Democracy Index,Burundi,2014,3.33,Eastern,No,Not Free,11178921,"Burundi�s authoritarian government increased its crackdown on opposition parties and restricted freedom of assembly in 2014. Against the backdrop of national elections scheduled for mid-2015, the ruling party continually disrupted the activities and targeted the members of opposition groups. In the government�s harshest move, in March, police arrested 70 people in Bujumbura for allegedly planning to participate in an opposition protest and subjected the group to a summary one-day trial.

Throughout 2014, outlets critical of the government were threatened with closure. In March, press freedom was further undermined when the president appointed six progovernment representatives to the media regulatory body. Authorities also regularly obstructed peaceful demonstrations and organized meetings ion 2014, including a peaceful Women�s Day march organized by the women�s league of the opposition Unity for National Progress (UPRONA) party in Bujumbura.

A law creating a truth and reconciliation commission was passed in April in a vote boycotted by opposition members, who expressed concern over the commission�s lack of independence. A new land law, adopted in January, was condemned by critics who argued that it could shift the country back into ethnic conflict.",5.5,5,6,https://freedomhouse.org/report/freedom-world/2015/burundi
Democracy Index,Cabo Verde,2014,7.81,Western,Yes,Free,35851774,"Cape Verde is a Sub-Saharan nation noted for its political and economic stability, despite unique natural and economic disadvantages that include the threat of volcanic eruption, a lack of natural resources, and a severe shortage of water and arable land. The ten-island nation continued to rely heavily on international aid, agricultural imports, and foreign loans in 2014. Although Cape Verde is considered one of the least corrupt countries in Africa, the government was criticized by opposition members in 2014 for financial misconduct in public construction and infrastructure projects.",1,1,1,https://freedomhouse.org/report/freedom-world/2015/cape-verde
Democracy Index,Cameroon,2014,3.41,Central,No,Not Free,23344179,"Cameroon saw growing fault lines in 2014, the result of a worsening security situation in the country�s north and east, high youth unemployment, aging political leadership, and the lack of an obvious presidential heir in the ruling party. The Far North province, which borders the stronghold of Boko Haram in Nigeria, faces increasing incursions from the Islamic militant group. Instability in neighboring Central African Republic, which shares a 500-mile-long border with Cameroon, has also led to increasing confrontations between Cameroon�s military and rebel groups.

As part of government�s response to the rise in extremist violence, in December President Paul Biya signed a sweeping new antiterrorism law. However, the law was criticized by the opposition, media, and civil society groups as severely restricting freedom of speech and assembly. It imposed the death penalty for �acts of terrorism�; however, critics alleged that such acts were vaguely defined and that the law could be used to silence dissent.

While arrests for same-sex sexual behavior have declined, Cameroon still has the highest number of individuals in prison for such acts in the world. As of early 2014, at least 15 men and women were in prison because they were believed to be gay.",6,6,6,https://freedomhouse.org/report/freedom-world/2015/cameroon
Democracy Index,Central African Republic,2014,0,Central,No,Not Free,4900274,"The political landscape of the conflict-torn Central African Republic (CAR) took a potential step toward stability in January 2014 following the resignation of president and Muslim military leader Michel Djotodia and the election of interim president Catherine Samba-Panza. Samba-Panza has no affiliation to any of the rebel groups involved in the conflict.

Political instability, violence, religious cleansing, and the massive internal displacement of more than one million people in the ongoing conflict between the largely Muslim S�l�ka forces responsible for the 2013 coup and Christian militias known as anti-Balaka, who include supporters of ousted president Fran�ois Boziz�, continued to worsen the country�s humanitarian crisis. In February 2014, UN secretary-general Ban Ki-moon launched the UN Multidimensional Integrated Stabilization Mission in Central African Republic (MINUSCA), authorizing more than 11,000 UN troops to join the African-led peacekeeping forces already stationed in CAR since 2013.

In July 2014, S�l�ka and anti-Balaka signed a cease-fire agreement, but implementation of the accord proved short-lived. S�l�ka military chief Joseph Zoundeiko ignored the cease-fire and called for a partition of the country along religious lines.

In September 2014, the International Criminal Court (ICC) opened a probe into the CAR conflict, citing widespread incidences of rape, murder, forced displacement, persecution, and pillaging since 2012. According to the Associated Press, more than 5,000 people were killed from December 2013 to September 2014, and this is likely a vast underestimation due to the difficulty of collecting accurate data.",7,7,7,https://freedomhouse.org/report/freedom-world/2015/central-african-republic
Democracy Index,Chad,2014,1.5,Central,No,Not Free,14037472,"In August 2014, the Union of Forces of Resistance (UFR), a rebel coalition that had ended its armed rebellion against the government in 2010, repeated threats that it could again take up arms. This, in combination with civil unrest and a massive influx of refugees from Central African Republic (CAR) throughout the year, contributed to instability in 2014.

Chad maintained some troops in Mali after beginning to withdraw in May 2013. Chad had originally sent 2,000 troops in early 2013 to help drive out Islamist fighters as part of an intervention spearheaded by France, D�by�s longtime ally. In September 2014, after five of its soldiers were killed, Chad accused the UN mission in Mali of neglect.

In March 2014, Chadian soldiers were accused of human rights abuses in CAR, where Chad has contributed substantially to an African Union peacekeeping force. President D�by claimed that the accusations were efforts to tarnish the country�s reputation, and ordered a full withdrawal of its troops. Chad began to play an important role in France�s Op�ration Barkhane, which aims to fight the Islamist threat in the Sahel. Opposition actors, who say that foreign countries are propping up President D�by and choosing regional stability over the internal politics of Chad, have criticized this decision.

According to the UN High Commissioner for Refugees (UNHCR), more than 450,000 refugees reside in Chad�mainly from Sudan, CAR, and Nigeria. In addition, more than 120,000 Chadians have been repatriated from CAR.",6.5,6,7,https://freedomhouse.org/report/freedom-world/2015/chad
Democracy Index,Comoros,2014,3.52,Eastern,Yes,Partly Free,788474,"In September 2014, President Ikililou Dhoinine abruptly postponed the scheduled November parliamentary elections until late December due to government unpreparedness. No elections had taken place at year�s end.

Various international bodies and donors have pursued strategies to assist Comoros with its struggling economy and lacking infrastructure in recent years. In February 2014, the Saudi Fund for Development pledged $40 million toward Comoran infrastructure and health services.

Large numbers of Comorans illegally immigrate to the French-administered island of Mayotte to settle or to seek entry into metropolitan France, and the Comoran economy depends heavily on remittances and foreign aid. Tensions remain with France regarding the restrictions on movement between Comoros and Mayotte, which Moroni claims as part of its territory.",3.5,4,3,https://freedomhouse.org/report/freedom-world/2015/comoros
Democracy Index,Democratic Republic of the Congo,2014,1.75,Central,No,Not Free,788474,"Political corruption, weak rule of law, and violence remained prevalent in the Democratic Republic of Congo (DRC) in 2014. With President Joseph Kabila�s second presidential term set to expire in 2016, factions of Kabila�s coalition, the Alliance of the Presidential Majority (AMP), sought to amend the constitution to allow him to seek a third term. The national army, the Armed Forces of the Democratic Republic of Congo (FARDC), remained implicated in human rights violations, with little effective civilian control over its activities. Journalists and human rights advocates continued to face threats, unlawful detention, and beatings by state security forces and rebel groups around the country. In some cases, opposition lawmakers were arrested and imprisoned for speaking out against the government.

Despite progress implementing 2013 accords that formally ended hostilities between the national army and the M23, numerous rebel groups remain active in the provinces of North Kivu, South Kivu, Orientale, and Katanga, contributing to mass internal displacement. The DRC launched a new disarmament, demobilization, and reintegration (DDR) program in 2014 as part of its approach to armed groups in the country�s east. Some critics decried a lack of progress toward implementing the UN-drafted Addis Ababa Accord, signed in 2013 by the DRC and ten neighboring countries, which aims at a region-wide effort to reduce support for armed groups in the DRC.

Regulations by western nations on trade in �conflict minerals� played a significant role in driving reforms in the extraction of natural resources in the DRC. In March, the European Commission proposed legislation on due diligence for some conflict minerals, though the proposal would not make reporting mandatory. Following advocacy from civil society groups and international advocates, the British oil firm SOCO International agreed in June to stop oil exploration in Virunga National Park.",6,6,6,https://freedomhouse.org/report/freedom-world/2015/congo-democratic-republic-kinshasa
Democracy Index,Republic of the Congo,2014,2.89,Central,No,Not Free,788474,"The repression of opposition parties and independent media outlets in the Republic of Congo continued in 2014 as rumors flew that President Denis Sassou-Nguesso was making moves to modify the constitution and run for another term as president.

Congo is one of sub-Saharan Africa�s major oil producers, but corruption and decades of instability have contributed to poor humanitarian conditions and extreme poverty for much of the population. Congo was ranked 140 out of 187 countries on the 2014 UN Human Development Index.",5.5,5,6,https://freedomhouse.org/report/freedom-world/2015/congo-republic-brazzaville
Democracy Index,Ivory Coast,2014,3.53,Western,No,Partly Free,22701556,"In 2014, C�te d�Ivoire continued to grapple with the aftermath of a 2010�11 postelection civil crisis that left 3,000 dead and another one million displaced. The Rally of the Republicans (RDR)�the party of the 2010 election winner, President Alassane Ouattara�dominates both local and national politics. In March, former president Laurent Gbagbo�s Ivorian Popular Front (FPI) led the formation of a new 12-party coalition, the Alliance des Forces D�mocratiques de C�te d�Ivoire (AFDCI), in an attempt to consolidate a dominant position among opposition parties in advance of 2015 general elections. Direct talks between the government and the FPI resulted in the release of more than 100 Gbagbo associates and the unfreezing of assets in the first part of the year, but dialogue has since stalled.

The Dialogue, Truth and Reconciliation Commission, established in 2011, began hearing evidence in September 2014. Meanwhile, the International Criminal Court (ICC) moved forward with cases against Gbagbo and Charles Bl� Goud�, a former youth minister and leader of a pro-Gbagbo militia. The Ivorian government disputed the ICC�s jurisdiction over Simone Gbagbo, Laurent Gbagbo�s wife, who faces four counts of crimes against humanity at the ICC even though she is on trial in C�te d�Ivoire for crimes related to the postelection crisis.

In June, the government passed the Law on the Promotion and Protection of Human Rights Defenders�the first of its kind on the continent. Meanwhile, attacks against LGBT (lesbian, gay, bisexual, and transgender) activists early in the year escalated into incidents of mob violence. The police were largely unresponsive to these crimes.",4.5,4,5,https://freedomhouse.org/report/freedom-world/2015/c-te-divoire
Democracy Index,Equatorial Guinea,2014,1.66,Central,No,Not Free,845060,"In September 2014, President Teodoro Obiang Nguema Mbasogo offered amnesty to political opposition members, including exiled expatriates, in the lead up to his �national dialogue� with opposition parties. After opposition groups initially walked out of the November talks following Obiang�s denial that the government was holding political prisoners, discussions resumed. Participants, including 20 legal and nonlegal opposition parties and a handful of independent activists, agreed that month to several changes related to elections and political pluralism.

In an attempt to attract more diversified investment, Equatorial Guinea held an international conference in February 2014 and established a $1 billion investment fund to spur growth beyond the energy sector.",7,7,7,https://freedomhouse.org/report/freedom-world/2015/equatorial-guinea
Democracy Index,Eritrea,2014,2.44,Eastern,No,Not Free,6330000,"Eritrea remained one of the most repressive countries in the world in 2014 following a failed attempt by disgruntled soldiers the previous year to topple the regime of President Isaias Afwerki. In June, four Eritrean Catholic bishops risked the government�s wrath by issuing a 38-page letter denouncing conditions in the country, which they described as �desolate.� The letter called for the rule of law to be respected and the country�s prisoners to be treated humanely. Later that month, the UN Human Rights Council launched a year-long investigation into allegations of human rights violations identified by UN Special Rapporteur Sheila Keetharuth, including Eritrea�s system of indefinite national military service and its harsh penalties for citizens attempting to avoid that service.

Waves of people risked their lives to escape Eritrea in 2014, often in unsafe, overcrowded boats to Europe operated by human traffickers.",7,7,7,https://freedomhouse.org/report/freedom-world/2015/eritrea
Democracy Index,Ethiopia,2014,3.72,Eastern,No,Not Free,99390750,"In 2014 the Ethiopian government continued to suppress free speech and associational rights, shattering hopes for meaningful reform under Prime Minister Hailemariam Desalegn. Government harassment and arrest of prominent opposition and media members continued, including the April arrest of nine journalists who were charged under Ethiopia�s controversial antiterrorism law. In April and May, massive protests in Oromia Regional State broke out following the announcement of the planned expansion of Addis Ababa into Oromia. At least 17 people died after the military fired on unarmed protesters.

Despite nascent signs of an opening with Eritrea, formal dialogues remain frozen between the two countries. The Ethiopian-Eritrean border remains highly militarized, though no major border clashes were reported in 2014.

Sporadic violence resumed in Ethiopia�s Ogaden region after talks failed in 2013 between the government and the Ogaden National Liberation Front (ONLF), a separatist group that has fought for independence since 1991. In January 2014, two ONLF negotiators dispatched to Nairobi for a third round of talks were abducted and allegedly turned over to Ethiopian authorities by Kenyan police. The kidnappings effectively ended the talks.

Ethiopia ranked 32 out of 52 countries surveyed in the Ibrahim Index of African Governance, below the continental average and among the bottom in East Africa. The country�s modest gains in the index are due to its improvement in human development indicators, but its ranking is held back by low scores in the �Participation and Human Rights� category.",6,6,6,https://freedomhouse.org/report/freedom-world/2015/ethiopia
Democracy Index,Gabon,2014,3.76,Central,No,Not Free,1725292,"In 2014, one of Gabon�s most powerful ministers, Jean Ping, emerged as a serious challenger to President Ali Bongo. In February, Ping announced he was severing all ties with the ruling Gabonese Democratic Party (PDG), and by July he had aligned himself with the newly formed United Opposition Front for Change (FOPA). FOPA members include many former stalwarts of former president El Hadj Omar Bongo Ondimba, Ali Bongo�s father.

On December 20, at least one man was killed and roughly one hundred arrested in the capital, Libreville, when police clashed with protesters to shut down a banned rally calling for the president�s resignation amid growing popular discontent with the stagnant political landscape.",5.5,5,6,https://freedomhouse.org/report/freedom-world/2015/gabon
Democracy Index,Gambia,2014,3.05,Western,No,Not Free,1990924,"The government�s repression of opposition leaders and journalists continued in 2014, intensifying in the run-up to the 2016 presidential elections. On December 30, disaffected Gambian soldiers launched a failed coup attempt while President Yahya Jammeh was abroad. Upon his return on December 31, authorities launched a crackdown on those allegedly involved in the coup plot.

In October, Jammeh signed into law an amendment to the Criminal Code that penalizes �aggravated homosexuality� with life in prison. A spate of arrests of suspected LGBT (lesbian, gay, bisexual, and transgender) individuals throughout the fall intensified the atmosphere of intimidation for sexual minorities.",6,6,6,https://freedomhouse.org/report/freedom-world/2015/gambia
Democracy Index,Ghana,2014,6.33,Western,Yes,Free,27409893,"Following the 2013 Supreme Court ruling reaffirming John Mahama of the National Democratic Congress (NDC) as the duly elected president, Ghana�s political parties commenced preparations for the 2016 presidential and parliamentary elections. The NDC and its main rival, the New Patriotic Party (NPP), held party primaries in late 2014 and elected Mahama and Nana Akufo-Addo as their respective presidential candidates. Guided by the Supreme Court ruling, the Electoral Commission (EC) spearheaded consultations with political parties on issues of electoral reform.

Ghana�s economic situation continued to worsen under high inflation, currency depreciation, credit-rating downgrades, and slower-than-expected economic growth. In September, the government commenced negotiations with the International Monetary Fund (IMF) for a fiscal assistance program with the aim of enhancing investor confidence in the country.

Beginning in September, Ghana served as the hub for coordinating the international response to the outbreak of the Ebola virus in West Africa. The country was not directly affected by the epidemic in 2014.",1.5,2,1,https://freedomhouse.org/report/freedom-world/2015/ghana
Democracy Index,Guinea,2014,3.01,Western,No,Partly Free,12608590,"Guinea was seized for much of the year by an epidemic of the Ebola virus that began in December 2013 in the country�s southeast and soon spread to neighboring countries in West Africa. The president, initially skeptical about the disease�s seriousness, declared a national public health emergency in August, and the government has been actively fighting the outbreak since then. The epidemic stoked fear and suspicion among Guineans, and attacks and threats against health workers occurred throughout the year. Relations between citizens and government have been strained as well. Direct talks over electoral rules between the ruling and opposition parties have stalled, and presidential polls originally scheduled for 2015 face the possibility of delays.

While corruption remains pervasive, the government took important steps toward resolving the country�s most severe bribery scandal in years, suspending the mining license awarded to BSG Resources by former Guinean president Lansana Cont�. The courts remain underresourced and overburdened, however, and scant progress was made on the long-overdue adjudication of atrocities committed by state security forces after a 2008 coup.

Freedom of movement and the free exercise of religion suffered somewhat as a result of the Ebola epidemic, though the government has maintained that some restrictions are necessary to curtail further spread of the virus.",5,5,5,https://freedomhouse.org/report/freedom-world/2015/guinea
Democracy Index,Guinea-Bissau,2014,1.93,Western,No,Partly Free,1844325,"After several delays, legislative and presidential elections were held in Guinea-Bissau in April 2014 for the first time since a military coup in 2012. A number of new parties competed, and the elections resulted in a victory for the African Party for the Independence of Guinea-Bissau and Cabo Verde (PAIGC), which secured control of the National People�s Assembly and the presidency. In September, the president dismissed Ant�nio Indjai, the man who had led the 2012 coup, from his position as head of the armed forces.

Corruption remains a major problem, bolstered by Guinea-Bissau�s prominent role in international drug trafficking and by the government�s limited resources to combat it. The international community, encouraged by the elections, has renewed its commitment to support Guinea-Bissau in fighting crime and corruption, modernizing its military, and improving the economy.",5,5,5,https://freedomhouse.org/report/freedom-world/2015/guinea-bissau
Democracy Index,Kenya,2014,5.13,Eastern,Yes,Partly Free,46050302,"The Shabaab, the Somalian extremist group, continued its assault on Kenyan territory in 2014, carrying out bombings and other attacks in retaliation for Kenya�s involvement in the African Union peacekeeping mission in Somalia. The Kenyan government responded with a heavy-handed counterterrorism campaign. Following several attacks in Nairobi and Mombasa, the government in April began Operation Usalama Watch, in which thousands of Somali refugees were rounded up in mass arrests and put in camps, and more than 350 others were deported under the premise of �emergency security challenges.� The sweep disproportionately affected Kenyan residents of Somali ethnicity, and was described by rights groups as a violation of national and international law.

After a late-year spike in terrorist attacks, President Uhuru Kenyatta in December signed the Security Laws (Amendment) Act, which gave the government expansive powers to restrict basic rights in the interest of national security. Among other controversial clauses, the legislation authorized the government to monitor and intercept communications, detain terrorism suspects without charge for up to one year, and restrict media reporting on terrorism and related issues. Also that month, the Non-Governmental Organizations Coordination Board deregistered more than 340 nongovernmental organizations (NGOs) that it claimed had not submitted financial records, alleging that they were �vulnerable to abuse as conduits of terrorism financing and money laundering.� The deteriorating security situation toward the end of the year sparked protests in Nairobi and led to the replacement of Kenya�s police chief and the cabinet secretary of the interior.

While Kenyatta remained popular in 2014, his government continued to face challenges from former prime minister Raila Odinga�s Coalition for Reforms and Democracy (CORD). In July, CORD led the so-called Saba Saba rally to protest increasing insecurity and call for a national dialogue on rising ethnic tensions. More than 10,000 people participated in the rally, during which opposition leaders also proposed a referendum to address major issues including land reform and devolution of power to regional governments.

International Criminal Court (ICC) cases against Kenyatta and Deputy President William Ruto for crimes against humanity in connection with 2007�08 postelection violence continued to unravel in 2014. As in the previous year, prosecution witnesses disappeared or withdrew amid threats, and civil society organizations and media outlets that focused on the trials faced intimidation. In September, the parliament voted in favor of the country�s withdrawal from the ICC, a process that would take up to a year to complete. Lawmakers argued that the ICC cases were politically motivated and infringed on Kenya�s sovereignty. Kenyatta in October attended a hearing on his case in The Hague, the Netherlands, becoming the first sitting head of state to appear before the court. In December, ICC prosecutor Fatou Bensouda announced the withdrawal of charges against Kenyatta, citing a lack of evidence and the Kenyan government�s failure to cooperate. The case against Ruto was ongoing as of the end of 2014.",4,4,4,https://freedomhouse.org/report/freedom-world/2015/kenya
Democracy Index,Lesotho,2014,6.66,Southern,Yes,Partly Free,2135022,"On August 30, 2014, Lieutenant General Tlali Kamoli failed to oust Prime Minister Thomas Thabane of the All Basotho Convention in a largely nonviolent coup. Kamoli along with a number of soldiers attacked several police stations, forcing the prime minister to temporarily flee to neighboring South Africa. Thabane returned to Lesotho in early September. At the end of the month, a shootout, allegedly connected to the attempted coup, between police and military forces left two police officers injured. Kamoli escaped to the mountains with approximately 200 soldiers and a large number of weapons. Fearing a motion of confidence, Thabane had suspended the Parliament in June. The Southern African Development Community helped bring about the reopening of Parliament in October.

The political situation in the country remained tense at the end of the year, with members of parliament saying the peace deal may be derailed if provisions that give the president the power to prorogue Parliament are not removed from the constitution.

Lesotho has an adult HIV/AIDS prevalence rate of approximately one in four; more than half of these are women. The government offers free HIV testing to all citizens; however 42 percent of those infected are unable to access antiretroviral treatment.",2.5,3,2,https://freedomhouse.org/report/freedom-world/2015/lesotho
Democracy Index,Liberia,2014,4.95,Western,Yes,Partly Free,4503438,"In 2014, Liberia, along with Guinea and Sierra Leone, experienced the most severe outbreak of the Ebola virus ever recorded. In September, in a highly unusual move, the UN Security Council unanimously declared the crisis a threat to international peace and security.

The crisis prompted the Liberian government to impose a state of emergency in August, announcing that some freedoms would have to be curtailed to fight the virus. The Ebola epidemic was used as a rationale for placing new restrictions on journalists, for the closure of all schools and land borders, and for postponement of senatorial elections scheduled for October. The government also imposed a nationwide nighttime curfew and quarantined several Ebola-stricken areas, including the West Point slum in Monrovia. The latter move was widely criticized and led to clashes between West Point residents and police. The quarantine was lifted after 10 days.

President Ellen Johnson Sirleaf initially defended her administration�s efforts to contain Ebola, blaming its spread on the public�s ignorance and refusal to heed government and health worker warnings. In October, however, she expressed public regret for measures taken early in the crisis, including the quarantines. In November, she lifted the state of emergency, citing progress in combating the epidemic. The rights of LGBT (lesbian, gay, bisexual, and transgender) people came under further assault in 2014 when religious leaders blamed the Ebola outbreak on homosexuality and other �sins.�

In October, the justice minister resigned to protest executive interference in her agency�s work.",3.5,4,3,https://freedomhouse.org/report/freedom-world/2015/liberia
