indicator,country,year,value,region
Control of Corruption: Estimate,Angola,1996,-1.15809834,Central
Control of Corruption: Estimate,Angola,1998,-1.318856239,Central
Control of Corruption: Estimate,Angola,2000,-1.516697884,Central
Control of Corruption: Estimate,Angola,2002,-1.136933327,Central
Control of Corruption: Estimate,Angola,2003,-1.303789735,Central
Control of Corruption: Estimate,Angola,2004,-1.281113744,Central
Control of Corruption: Estimate,Angola,2005,-1.331654906,Central
Control of Corruption: Estimate,Angola,2006,-1.227777839,Central
Control of Corruption: Estimate,Angola,2007,-1.320408344,Central
Control of Corruption: Estimate,Angola,2008,-1.283269048,Central
Control of Corruption: Estimate,Angola,2009,-1.417586088,Central
Control of Corruption: Estimate,Angola,2010,-1.319217563,Central
Control of Corruption: Estimate,Angola,2011,-1.337880015,Central
Control of Corruption: Estimate,Angola,2012,-1.29587853,Central
Control of Corruption: Estimate,Angola,2013,-1.325143218,Central
Control of Corruption: Estimate,Angola,2014,-1.452597737,Central
Control of Corruption: Estimate,Benin,1996,-0.930731416,Western
Control of Corruption: Estimate,Benin,1998,-0.59970516,Western
Control of Corruption: Estimate,Benin,2000,-0.49276942,Western
Control of Corruption: Estimate,Benin,2002,-0.792009234,Western
Control of Corruption: Estimate,Benin,2003,-0.56892395,Western
Control of Corruption: Estimate,Benin,2004,-0.493639767,Western
Control of Corruption: Estimate,Benin,2005,-0.970942497,Western
Control of Corruption: Estimate,Benin,2006,-0.616738021,Western
Control of Corruption: Estimate,Benin,2007,-0.473546594,Western
Control of Corruption: Estimate,Benin,2008,-0.53126967,Western
Control of Corruption: Estimate,Benin,2009,-0.672711611,Western
Control of Corruption: Estimate,Benin,2010,-0.737614274,Western
Control of Corruption: Estimate,Benin,2011,-0.642196357,Western
Control of Corruption: Estimate,Benin,2012,-0.932404459,Western
Control of Corruption: Estimate,Benin,2013,-0.834388018,Western
Control of Corruption: Estimate,Benin,2014,-0.780429363,Western
Control of Corruption: Estimate,Botswana,1996,0.585982561,Southern
Control of Corruption: Estimate,Botswana,1998,0.705786228,Southern
Control of Corruption: Estimate,Botswana,2000,0.66622442,Southern
Control of Corruption: Estimate,Botswana,2002,0.606008172,Southern
Control of Corruption: Estimate,Botswana,2003,1.24967134,Southern
Control of Corruption: Estimate,Botswana,2004,0.879445016,Southern
Control of Corruption: Estimate,Botswana,2005,1.141266823,Southern
Control of Corruption: Estimate,Botswana,2006,0.895547032,Southern
Control of Corruption: Estimate,Botswana,2007,0.941658497,Southern
Control of Corruption: Estimate,Botswana,2008,0.98775363,Southern
Control of Corruption: Estimate,Botswana,2009,0.919515193,Southern
Control of Corruption: Estimate,Botswana,2010,1.003334641,Southern
Control of Corruption: Estimate,Botswana,2011,0.979917467,Southern
Control of Corruption: Estimate,Botswana,2012,0.918630481,Southern
Control of Corruption: Estimate,Botswana,2013,0.91186446,Southern
Control of Corruption: Estimate,Botswana,2014,0.799274445,Southern
Control of Corruption: Estimate,Burkina Faso,1996,0.221323252,Western
Control of Corruption: Estimate,Burkina Faso,1998,-0.243102238,Western
Control of Corruption: Estimate,Burkina Faso,2000,-0.140602306,Western
Control of Corruption: Estimate,Burkina Faso,2002,-0.021676276,Western
Control of Corruption: Estimate,Burkina Faso,2003,-0.033451848,Western
Control of Corruption: Estimate,Burkina Faso,2004,-0.152619109,Western
Control of Corruption: Estimate,Burkina Faso,2005,-0.090967983,Western
Control of Corruption: Estimate,Burkina Faso,2006,-0.329226255,Western
Control of Corruption: Estimate,Burkina Faso,2007,-0.351358831,Western
Control of Corruption: Estimate,Burkina Faso,2008,-0.328134686,Western
Control of Corruption: Estimate,Burkina Faso,2009,-0.38107729,Western
Control of Corruption: Estimate,Burkina Faso,2010,-0.388622314,Western
Control of Corruption: Estimate,Burkina Faso,2011,-0.391554654,Western
Control of Corruption: Estimate,Burkina Faso,2012,-0.519974887,Western
Control of Corruption: Estimate,Burkina Faso,2013,-0.576052189,Western
Control of Corruption: Estimate,Burkina Faso,2014,-0.525002599,Western
Control of Corruption: Estimate,Burundi,1996,-1.388785481,Eastern
Control of Corruption: Estimate,Burundi,1998,-1.154359818,Eastern
Control of Corruption: Estimate,Burundi,2000,-1.0145576,Eastern
Control of Corruption: Estimate,Burundi,2002,-0.942692518,Eastern
Control of Corruption: Estimate,Burundi,2003,-1.047090173,Eastern
Control of Corruption: Estimate,Burundi,2004,-0.969913542,Eastern
Control of Corruption: Estimate,Burundi,2005,-0.899686992,Eastern
Control of Corruption: Estimate,Burundi,2006,-1.065673947,Eastern
Control of Corruption: Estimate,Burundi,2007,-1.116411567,Eastern
Control of Corruption: Estimate,Burundi,2008,-1.015800476,Eastern
Control of Corruption: Estimate,Burundi,2009,-1.067552328,Eastern
Control of Corruption: Estimate,Burundi,2010,-1.105630279,Eastern
Control of Corruption: Estimate,Burundi,2011,-1.122372031,Eastern
Control of Corruption: Estimate,Burundi,2012,-1.439089417,Eastern
Control of Corruption: Estimate,Burundi,2013,-1.366742492,Eastern
Control of Corruption: Estimate,Burundi,2014,-1.193353176,Eastern
Control of Corruption: Estimate,Cabo Verde,1996,null,Western
Control of Corruption: Estimate,Cabo Verde,1998,-0.317102939,Western
Control of Corruption: Estimate,Cabo Verde,2000,0.12748003,Western
Control of Corruption: Estimate,Cabo Verde,2002,0.384034425,Western
Control of Corruption: Estimate,Cabo Verde,2003,0.289174169,Western
Control of Corruption: Estimate,Cabo Verde,2004,0.271419466,Western
Control of Corruption: Estimate,Cabo Verde,2005,0.343925476,Western
Control of Corruption: Estimate,Cabo Verde,2006,0.633570433,Western
Control of Corruption: Estimate,Cabo Verde,2007,0.787132382,Western
Control of Corruption: Estimate,Cabo Verde,2008,0.777043223,Western
Control of Corruption: Estimate,Cabo Verde,2009,0.770491004,Western
Control of Corruption: Estimate,Cabo Verde,2010,0.797934651,Western
Control of Corruption: Estimate,Cabo Verde,2011,0.86149627,Western
Control of Corruption: Estimate,Cabo Verde,2012,0.788585424,Western
Control of Corruption: Estimate,Cabo Verde,2013,0.764068842,Western
Control of Corruption: Estimate,Cabo Verde,2014,0.903527021,Western
Control of Corruption: Estimate,Cameroon,1996,-1.15809834,Central
Control of Corruption: Estimate,Cameroon,1998,-1.040156722,Central
Control of Corruption: Estimate,Cameroon,2000,-1.057799578,Central
Control of Corruption: Estimate,Cameroon,2002,-1.086710215,Central
Control of Corruption: Estimate,Cameroon,2003,-0.86248064,Central
Control of Corruption: Estimate,Cameroon,2004,-1.07296145,Central
Control of Corruption: Estimate,Cameroon,2005,-1.160717607,Central
Control of Corruption: Estimate,Cameroon,2006,-1.026647329,Central
Control of Corruption: Estimate,Cameroon,2007,-0.95124805,Central
Control of Corruption: Estimate,Cameroon,2008,-0.943711281,Central
Control of Corruption: Estimate,Cameroon,2009,-0.922345638,Central
Control of Corruption: Estimate,Cameroon,2010,-0.984666526,Central
Control of Corruption: Estimate,Cameroon,2011,-1.076981068,Central
Control of Corruption: Estimate,Cameroon,2012,-1.267401338,Central
Control of Corruption: Estimate,Cameroon,2013,-1.194298983,Central
Control of Corruption: Estimate,Cameroon,2014,-1.153098464,Central
Control of Corruption: Estimate,Central African Republic,1996,-1.388785481,Central
Control of Corruption: Estimate,Central African Republic,1998,-0.997215629,Central
Control of Corruption: Estimate,Central African Republic,2000,-1.18768692,Central
Control of Corruption: Estimate,Central African Republic,2002,-1.10757494,Central
Control of Corruption: Estimate,Central African Republic,2003,-1.225060225,Central
Control of Corruption: Estimate,Central African Republic,2004,-1.325428724,Central
Control of Corruption: Estimate,Central African Republic,2005,-1.207323313,Central
Control of Corruption: Estimate,Central African Republic,2006,-0.99707514,Central
Control of Corruption: Estimate,Central African Republic,2007,-0.972397029,Central
Control of Corruption: Estimate,Central African Republic,2008,-0.977801621,Central
Control of Corruption: Estimate,Central African Republic,2009,-0.907439768,Central
Control of Corruption: Estimate,Central African Republic,2010,-0.836116314,Central
Control of Corruption: Estimate,Central African Republic,2011,-0.843617558,Central
Control of Corruption: Estimate,Central African Republic,2012,-0.893970907,Central
Control of Corruption: Estimate,Central African Republic,2013,-1.041790485,Central
Control of Corruption: Estimate,Central African Republic,2014,-1.150226355,Central
Control of Corruption: Estimate,Chad,1996,-0.930731416,Central
Control of Corruption: Estimate,Chad,1998,-0.941718161,Central
Control of Corruption: Estimate,Chad,2000,-0.818540275,Central
Control of Corruption: Estimate,Chad,2002,-0.942692518,Central
Control of Corruption: Estimate,Chad,2003,-1.263405442,Central
Control of Corruption: Estimate,Chad,2004,-1.281617284,Central
Control of Corruption: Estimate,Chad,2005,-1.43051064,Central
Control of Corruption: Estimate,Chad,2006,-1.267525792,Central
Control of Corruption: Estimate,Chad,2007,-1.300601125,Central
Control of Corruption: Estimate,Chad,2008,-1.446713805,Central
Control of Corruption: Estimate,Chad,2009,-1.355536461,Central
Control of Corruption: Estimate,Chad,2010,-1.335370302,Central
Control of Corruption: Estimate,Chad,2011,-1.263045192,Central
Control of Corruption: Estimate,Chad,2012,-1.251335263,Central
Control of Corruption: Estimate,Chad,2013,-1.285287619,Central
Control of Corruption: Estimate,Chad,2014,-1.234214544,Central
Control of Corruption: Estimate,Comoros,1996,-0.930731416,Eastern
Control of Corruption: Estimate,Comoros,1998,-1.311455727,Eastern
Control of Corruption: Estimate,Comoros,2000,-1.123823524,Eastern
Control of Corruption: Estimate,Comoros,2002,-0.870549858,Eastern
Control of Corruption: Estimate,Comoros,2003,-0.83941406,Eastern
Control of Corruption: Estimate,Comoros,2004,-0.840120316,Eastern
Control of Corruption: Estimate,Comoros,2005,-0.825074196,Eastern
Control of Corruption: Estimate,Comoros,2006,-0.643387616,Eastern
Control of Corruption: Estimate,Comoros,2007,-0.652451873,Eastern
Control of Corruption: Estimate,Comoros,2008,-0.755275846,Eastern
Control of Corruption: Estimate,Comoros,2009,-0.783991337,Eastern
Control of Corruption: Estimate,Comoros,2010,-0.745625794,Eastern
Control of Corruption: Estimate,Comoros,2011,-0.708473384,Eastern
Control of Corruption: Estimate,Comoros,2012,-0.725815237,Eastern
Control of Corruption: Estimate,Comoros,2013,-0.728022933,Eastern
Control of Corruption: Estimate,Comoros,2014,-0.530485272,Eastern
Control of Corruption: Estimate,"Congo, Dem. Rep.",1996,-2.057458401,Central
Control of Corruption: Estimate,"Congo, Dem. Rep.",1998,-1.899546623,Central
Control of Corruption: Estimate,"Congo, Dem. Rep.",2000,-1.566074491,Central
Control of Corruption: Estimate,"Congo, Dem. Rep.",2002,-1.259880066,Central
Control of Corruption: Estimate,"Congo, Dem. Rep.",2003,-1.406835556,Central
Control of Corruption: Estimate,"Congo, Dem. Rep.",2004,-1.431121945,Central
Control of Corruption: Estimate,"Congo, Dem. Rep.",2005,-1.428542256,Central
Control of Corruption: Estimate,"Congo, Dem. Rep.",2006,-1.484902263,Central
Control of Corruption: Estimate,"Congo, Dem. Rep.",2007,-1.307735085,Central
Control of Corruption: Estimate,"Congo, Dem. Rep.",2008,-1.166881204,Central
Control of Corruption: Estimate,"Congo, Dem. Rep.",2009,-1.363468051,Central
Control of Corruption: Estimate,"Congo, Dem. Rep.",2010,-1.418076754,Central
Control of Corruption: Estimate,"Congo, Dem. Rep.",2011,-1.396385789,Central
Control of Corruption: Estimate,"Congo, Dem. Rep.",2012,-1.304381967,Central
Control of Corruption: Estimate,"Congo, Dem. Rep.",2013,-1.298020959,Central
Control of Corruption: Estimate,"Congo, Dem. Rep.",2014,-1.287079811,Central
Control of Corruption: Estimate,"Congo, Rep.",1996,-1.105180144,Central
Control of Corruption: Estimate,"Congo, Rep.",1998,-1.133586764,Central
Control of Corruption: Estimate,"Congo, Rep.",2000,-0.960103393,Central
Control of Corruption: Estimate,"Congo, Rep.",2002,-0.865494728,Central
Control of Corruption: Estimate,"Congo, Rep.",2003,-0.936126769,Central
Control of Corruption: Estimate,"Congo, Rep.",2004,-0.835360408,Central
Control of Corruption: Estimate,"Congo, Rep.",2005,-1.016284704,Central
Control of Corruption: Estimate,"Congo, Rep.",2006,-1.049339771,Central
Control of Corruption: Estimate,"Congo, Rep.",2007,-1.094162583,Central
Control of Corruption: Estimate,"Congo, Rep.",2008,-1.128976703,Central
Control of Corruption: Estimate,"Congo, Rep.",2009,-1.175436378,Central
Control of Corruption: Estimate,"Congo, Rep.",2010,-1.11496973,Central
Control of Corruption: Estimate,"Congo, Rep.",2011,-1.07828331,Central
Control of Corruption: Estimate,"Congo, Rep.",2012,-1.192247748,Central
Control of Corruption: Estimate,"Congo, Rep.",2013,-1.187468529,Central
Control of Corruption: Estimate,"Congo, Rep.",2014,-1.215709448,Central
Control of Corruption: Estimate,Cote d'Ivoire,1996,0.198116809,Western
Control of Corruption: Estimate,Cote d'Ivoire,1998,-0.303586245,Western
Control of Corruption: Estimate,Cote d'Ivoire,2000,-0.686767876,Western
Control of Corruption: Estimate,Cote d'Ivoire,2002,-0.816110909,Western
Control of Corruption: Estimate,Cote d'Ivoire,2003,-0.977763653,Western
Control of Corruption: Estimate,Cote d'Ivoire,2004,-1.216273069,Western
Control of Corruption: Estimate,Cote d'Ivoire,2005,-1.239615083,Western
Control of Corruption: Estimate,Cote d'Ivoire,2006,-1.182116151,Western
Control of Corruption: Estimate,Cote d'Ivoire,2007,-1.071813703,Western
Control of Corruption: Estimate,Cote d'Ivoire,2008,-1.087695718,Western
Control of Corruption: Estimate,Cote d'Ivoire,2009,-1.081907988,Western
Control of Corruption: Estimate,Cote d'Ivoire,2010,-1.137879729,Western
Control of Corruption: Estimate,Cote d'Ivoire,2011,-1.021499515,Western
Control of Corruption: Estimate,Cote d'Ivoire,2012,-0.856443822,Western
Control of Corruption: Estimate,Cote d'Ivoire,2013,-0.778041065,Western
Control of Corruption: Estimate,Cote d'Ivoire,2014,-0.413306653,Western
Control of Corruption: Estimate,Equatorial Guinea,1996,-1.254181266,Central
Control of Corruption: Estimate,Equatorial Guinea,1998,-1.211206675,Central
Control of Corruption: Estimate,Equatorial Guinea,2000,-1.531028628,Central
Control of Corruption: Estimate,Equatorial Guinea,2002,-1.335924029,Central
Control of Corruption: Estimate,Equatorial Guinea,2003,-1.551382422,Central
Control of Corruption: Estimate,Equatorial Guinea,2004,-1.705715179,Central
Control of Corruption: Estimate,Equatorial Guinea,2005,-1.607176304,Central
Control of Corruption: Estimate,Equatorial Guinea,2006,-1.533612847,Central
Control of Corruption: Estimate,Equatorial Guinea,2007,-1.541703701,Central
Control of Corruption: Estimate,Equatorial Guinea,2008,-1.508338332,Central
Control of Corruption: Estimate,Equatorial Guinea,2009,-1.503391862,Central
Control of Corruption: Estimate,Equatorial Guinea,2010,-1.492289782,Central
Control of Corruption: Estimate,Equatorial Guinea,2011,-1.488369942,Central
Control of Corruption: Estimate,Equatorial Guinea,2012,-1.561095476,Central
Control of Corruption: Estimate,Equatorial Guinea,2013,-1.609172106,Central
Control of Corruption: Estimate,Equatorial Guinea,2014,-1.836494565,Central
Control of Corruption: Estimate,Eritrea,1996,0.44343102,Eastern
Control of Corruption: Estimate,Eritrea,1998,0.851665735,Eastern
Control of Corruption: Estimate,Eritrea,2000,0.614670396,Eastern
Control of Corruption: Estimate,Eritrea,2002,0.055550113,Eastern
Control of Corruption: Estimate,Eritrea,2003,-0.069137983,Eastern
Control of Corruption: Estimate,Eritrea,2004,-0.153958321,Eastern
Control of Corruption: Estimate,Eritrea,2005,-0.207431585,Eastern
Control of Corruption: Estimate,Eritrea,2006,-0.249099776,Eastern
Control of Corruption: Estimate,Eritrea,2007,-0.494970024,Eastern
Control of Corruption: Estimate,Eritrea,2008,-0.320255846,Eastern
Control of Corruption: Estimate,Eritrea,2009,-0.428718746,Eastern
Control of Corruption: Estimate,Eritrea,2010,-0.474667937,Eastern
Control of Corruption: Estimate,Eritrea,2011,-0.568008423,Eastern
Control of Corruption: Estimate,Eritrea,2012,-0.649177909,Eastern
Control of Corruption: Estimate,Eritrea,2013,-0.795023501,Eastern
Control of Corruption: Estimate,Eritrea,2014,-0.861256123,Eastern
Control of Corruption: Estimate,Ethiopia,1996,-1.15256238,Eastern
Control of Corruption: Estimate,Ethiopia,1998,-0.691003978,Eastern
Control of Corruption: Estimate,Ethiopia,2000,-0.48982501,Eastern
Control of Corruption: Estimate,Ethiopia,2002,-0.728097796,Eastern
Control of Corruption: Estimate,Ethiopia,2003,-0.678868175,Eastern
Control of Corruption: Estimate,Ethiopia,2004,-0.716092169,Eastern
Control of Corruption: Estimate,Ethiopia,2005,-0.769132316,Eastern
Control of Corruption: Estimate,Ethiopia,2006,-0.622632086,Eastern
Control of Corruption: Estimate,Ethiopia,2007,-0.606462002,Eastern
Control of Corruption: Estimate,Ethiopia,2008,-0.663394928,Eastern
Control of Corruption: Estimate,Ethiopia,2009,-0.718117893,Eastern
Control of Corruption: Estimate,Ethiopia,2010,-0.703992009,Eastern
Control of Corruption: Estimate,Ethiopia,2011,-0.6756953,Eastern
Control of Corruption: Estimate,Ethiopia,2012,-0.607123673,Eastern
Control of Corruption: Estimate,Ethiopia,2013,-0.504982233,Eastern
Control of Corruption: Estimate,Ethiopia,2014,-0.432153493,Eastern
Control of Corruption: Estimate,Gabon,1996,-1.017737865,Central
Control of Corruption: Estimate,Gabon,1998,-0.874949098,Central
Control of Corruption: Estimate,Gabon,2000,-0.503677428,Central
Control of Corruption: Estimate,Gabon,2002,-0.419007808,Central
Control of Corruption: Estimate,Gabon,2003,-0.474567086,Central
Control of Corruption: Estimate,Gabon,2004,-0.761640668,Central
Control of Corruption: Estimate,Gabon,2005,-0.545076549,Central
Control of Corruption: Estimate,Gabon,2006,-0.96201247,Central
Control of Corruption: Estimate,Gabon,2007,-1.032892466,Central
Control of Corruption: Estimate,Gabon,2008,-1.020521641,Central
Control of Corruption: Estimate,Gabon,2009,-0.941673338,Central
Control of Corruption: Estimate,Gabon,2010,-0.780383229,Central
Control of Corruption: Estimate,Gabon,2011,-0.786190152,Central
Control of Corruption: Estimate,Gabon,2012,-0.551935911,Central
Control of Corruption: Estimate,Gabon,2013,-0.557560802,Central
Control of Corruption: Estimate,Gabon,2014,-0.63635385,Central
Control of Corruption: Estimate,Gambia,1996,-0.441928476,Western
Control of Corruption: Estimate,Gambia,1998,-0.53126502,Western
Control of Corruption: Estimate,Gambia,2000,-0.409920096,Western
Control of Corruption: Estimate,Gambia,2002,-0.436575174,Western
Control of Corruption: Estimate,Gambia,2003,-0.331659734,Western
Control of Corruption: Estimate,Gambia,2004,-0.593111575,Western
Control of Corruption: Estimate,Gambia,2005,-0.707912207,Western
Control of Corruption: Estimate,Gambia,2006,-0.740821064,Western
Control of Corruption: Estimate,Gambia,2007,-0.771498919,Western
Control of Corruption: Estimate,Gambia,2008,-0.752963543,Western
Control of Corruption: Estimate,Gambia,2009,-0.563803852,Western
Control of Corruption: Estimate,Gambia,2010,-0.559655249,Western
Control of Corruption: Estimate,Gambia,2011,-0.498737067,Western
Control of Corruption: Estimate,Gambia,2012,-0.642585695,Western
Control of Corruption: Estimate,Gambia,2013,-0.701253414,Western
Control of Corruption: Estimate,Gambia,2014,-0.679214001,Western
Control of Corruption: Estimate,Ghana,1996,-0.221413642,Western
Control of Corruption: Estimate,Ghana,1998,-0.171881661,Western
Control of Corruption: Estimate,Ghana,2000,-0.071843393,Western
Control of Corruption: Estimate,Ghana,2002,-0.286378354,Western
Control of Corruption: Estimate,Ghana,2003,-0.237874642,Western
Control of Corruption: Estimate,Ghana,2004,-0.224504575,Western
Control of Corruption: Estimate,Ghana,2005,-0.362756491,Western
Control of Corruption: Estimate,Ghana,2006,-0.019105712,Western
Control of Corruption: Estimate,Ghana,2007,0.051259506,Western
Control of Corruption: Estimate,Ghana,2008,-0.044087831,Western
Control of Corruption: Estimate,Ghana,2009,0.031342342,Western
Control of Corruption: Estimate,Ghana,2010,0.059723914,Western
Control of Corruption: Estimate,Ghana,2011,0.039497003,Western
Control of Corruption: Estimate,Ghana,2012,-0.103126362,Western
Control of Corruption: Estimate,Ghana,2013,-0.081666075,Western
Control of Corruption: Estimate,Ghana,2014,-0.214866102,Western
Control of Corruption: Estimate,Guinea,1996,-0.456128269,Western
Control of Corruption: Estimate,Guinea,1998,-0.726588905,Western
Control of Corruption: Estimate,Guinea,2000,-0.752232552,Western
Control of Corruption: Estimate,Guinea,2002,-0.518084645,Western
Control of Corruption: Estimate,Guinea,2003,-0.749372005,Western
Control of Corruption: Estimate,Guinea,2004,-0.840919197,Western
Control of Corruption: Estimate,Guinea,2005,-1.008442402,Western
Control of Corruption: Estimate,Guinea,2006,-1.043507218,Western
Control of Corruption: Estimate,Guinea,2007,-1.24141252,Western
Control of Corruption: Estimate,Guinea,2008,-1.154891372,Western
Control of Corruption: Estimate,Guinea,2009,-1.04705596,Western
Control of Corruption: Estimate,Guinea,2010,-1.192249179,Western
Control of Corruption: Estimate,Guinea,2011,-1.112771392,Western
Control of Corruption: Estimate,Guinea,2012,-1.072872758,Western
Control of Corruption: Estimate,Guinea,2013,-1.050905704,Western
Control of Corruption: Estimate,Guinea,2014,-1.066069961,Western
Control of Corruption: Estimate,Guinea-Bissau,1996,-1.090980411,Western
Control of Corruption: Estimate,Guinea-Bissau,1998,-1.143232703,Western
Control of Corruption: Estimate,Guinea-Bissau,2000,-0.966772974,Western
Control of Corruption: Estimate,Guinea-Bissau,2002,-0.853983343,Western
Control of Corruption: Estimate,Guinea-Bissau,2003,-1.067822576,Western
Control of Corruption: Estimate,Guinea-Bissau,2004,-1.144352555,Western
Control of Corruption: Estimate,Guinea-Bissau,2005,-1.095466971,Western
Control of Corruption: Estimate,Guinea-Bissau,2006,-0.984620214,Western
Control of Corruption: Estimate,Guinea-Bissau,2007,-1.139386535,Western
Control of Corruption: Estimate,Guinea-Bissau,2008,-1.085946083,Western
Control of Corruption: Estimate,Guinea-Bissau,2009,-1.104419231,Western
Control of Corruption: Estimate,Guinea-Bissau,2010,-1.062570214,Western
Control of Corruption: Estimate,Guinea-Bissau,2011,-1.053486943,Western
Control of Corruption: Estimate,Guinea-Bissau,2012,-1.225528479,Western
Control of Corruption: Estimate,Guinea-Bissau,2013,-1.330201864,Western
Control of Corruption: Estimate,Guinea-Bissau,2014,-1.512266874,Western
Control of Corruption: Estimate,Kenya,1996,-1.028809786,Eastern
Control of Corruption: Estimate,Kenya,1998,-1.021769047,Eastern
Control of Corruption: Estimate,Kenya,2000,-0.948723316,Eastern
Control of Corruption: Estimate,Kenya,2002,-0.987510741,Eastern
Control of Corruption: Estimate,Kenya,2003,-0.830638528,Eastern
Control of Corruption: Estimate,Kenya,2004,-0.802237213,Eastern
Control of Corruption: Estimate,Kenya,2005,-0.973509073,Eastern
Control of Corruption: Estimate,Kenya,2006,-0.867907166,Eastern
Control of Corruption: Estimate,Kenya,2007,-0.905517042,Eastern
Control of Corruption: Estimate,Kenya,2008,-1.026750565,Eastern
Control of Corruption: Estimate,Kenya,2009,-1.081996799,Eastern
Control of Corruption: Estimate,Kenya,2010,-0.935705781,Eastern
Control of Corruption: Estimate,Kenya,2011,-0.946826339,Eastern
Control of Corruption: Estimate,Kenya,2012,-1.093986154,Eastern
Control of Corruption: Estimate,Kenya,2013,-1.059662461,Eastern
Control of Corruption: Estimate,Kenya,2014,-0.94259578,Eastern
Control of Corruption: Estimate,Lesotho,1996,-0.472677261,Southern
Control of Corruption: Estimate,Lesotho,1998,-0.072774947,Southern
Control of Corruption: Estimate,Lesotho,2000,-0.123622812,Southern
Control of Corruption: Estimate,Lesotho,2002,-0.178667739,Southern
Control of Corruption: Estimate,Lesotho,2003,-0.394999295,Southern
Control of Corruption: Estimate,Lesotho,2004,-0.192214057,Southern
Control of Corruption: Estimate,Lesotho,2005,-0.039452244,Southern
Control of Corruption: Estimate,Lesotho,2006,-0.052554164,Southern
Control of Corruption: Estimate,Lesotho,2007,-0.120186359,Southern
Control of Corruption: Estimate,Lesotho,2008,0.031414282,Southern
Control of Corruption: Estimate,Lesotho,2009,0.159893453,Southern
Control of Corruption: Estimate,Lesotho,2010,0.178159609,Southern
Control of Corruption: Estimate,Lesotho,2011,0.176513478,Southern
Control of Corruption: Estimate,Lesotho,2012,0.105559707,Southern
Control of Corruption: Estimate,Lesotho,2013,0.226149216,Southern
Control of Corruption: Estimate,Lesotho,2014,0.1488536,Southern
Control of Corruption: Estimate,Liberia,1996,-1.740032315,Western
Control of Corruption: Estimate,Liberia,1998,-1.729733825,Western
Control of Corruption: Estimate,Liberia,2000,-1.368740916,Western
Control of Corruption: Estimate,Liberia,2002,-1.173000097,Western
Control of Corruption: Estimate,Liberia,2003,-1.218102932,Western
Control of Corruption: Estimate,Liberia,2004,-1.267353773,Western
Control of Corruption: Estimate,Liberia,2005,-1.037224412,Western
Control of Corruption: Estimate,Liberia,2006,-0.473982304,Western
Control of Corruption: Estimate,Liberia,2007,-0.331996948,Western
Control of Corruption: Estimate,Liberia,2008,-0.700397432,Western
Control of Corruption: Estimate,Liberia,2009,-0.562710524,Western
Control of Corruption: Estimate,Liberia,2010,-0.527838469,Western
